Gene,Annotation
9830107B12RIK,Overlap
A2M,Overlap
A530064D06RIK,Overlap
ABR,Overlap
ACOD1,Overlap
ACTG1,Overlap
ACTR2,Overlap
ACTR3,Overlap
ADAM8,Overlap
ADAM15,Overlap
ADAM17,Overlap
ADAR,Overlap
ADGRB1,Overlap
ADM,Overlap
AICDA,Overlap
AIM2,Overlap
AKAP8,Overlap
AKIRIN2,Overlap
ALPK1,Overlap
ANG,Overlap
ANG4,Overlap
ANKHD1,Overlap
ANKRD17,Overlap
ANXA1,Overlap
ANXA3,Overlap
AP1G1,Overlap
APCS,Overlap
APOA4,Overlap
APOBEC3,Overlap
APOE,Overlap
APP,Overlap
APPL1,Overlap
APPL2,Overlap
AQP4,Overlap
ARF6,Overlap
ARG1,Overlap
ARG2,Overlap
ARHGEF2,Overlap
ARID5A,Overlap
ARRB2,Overlap
ATG9A,Overlap
AXL,Overlap
AY761185,Overlap
B2M,Overlap
B430306N03RIK,Overlap
BATF,Overlap
BCL2,Overlap
BCL3,Overlap
BCL10,Overlap
BCR,Overlap
BPI,Overlap
BPIFA1,Overlap
BPIFB1,Overlap
BPIFB3,Overlap
BST2,Overlap
BTK,Overlap
C1QA,Overlap
C1QB,Overlap
C1QBP,Overlap
C1QC,Overlap
C1RA,Overlap
C1RB,Overlap
C1RL,Overlap
C1S1,Overlap
C1S2,Overlap
C2,Overlap
C3,Overlap
C4BP,Overlap
C5AR1,Overlap
C8A,Overlap
C8B,Overlap
C8G,Overlap
C9,Overlap
CACTIN,Overlap
CADM1,Overlap
CAMP,Overlap
CAPG,Overlap
CARD9,Overlap
CASP1,Overlap
CASP4,Overlap
CAV1,Overlap
CCL1,Overlap
CCL2,Overlap
CCL3,Overlap
CCL4,Overlap
CCL5,Overlap
CCL6,Overlap
CCL7,Overlap
CCL8,Overlap
CCL9,Overlap
CCL11,Overlap
CCL12,Overlap
CCL17,Overlap
CCL19,Overlap
CCL20,Overlap
CCL21A,Overlap
CCL21B,Overlap
CCL21C,Overlap
CCL22,Overlap
CCL24,Overlap
CCL25,Overlap
CCL26,Overlap
CCR1,Overlap
CCR7,Overlap
CD1D1,Overlap
CD4,Overlap
CD6,Overlap
CD8A,Overlap
CD14,Overlap
CD24A,Overlap
CD36,Overlap
CD37,Overlap
CD40,Overlap
CD47,Overlap
CD55,Overlap
CD55B,Overlap
CD68,Overlap
CD74,Overlap
CD84,Overlap
CD86,Overlap
CD96,Overlap
CD160,Overlap
CD177,Overlap
CD180,Overlap
CD226,Overlap
CD244A,Overlap
CD300A,Overlap
CD300LD3,Overlap
CD300LF,Overlap
CDC37,Overlap
CDC42,Overlap
CDC42EP2,Overlap
CDC42EP4,Overlap
CEACAM1,Overlap
CEBPG,Overlap
CFB,Overlap
CFD,Overlap
CFH,Overlap
CFI,Overlap
CFP,Overlap
CGAS,Overlap
CHGA,Overlap
CHIA1,Overlap
CHID1,Overlap
CIITA,Overlap
CITED1,Overlap
CLEC2D,Overlap
CLEC4A2,Overlap
CLEC4D,Overlap
CLEC4E,Overlap
CLEC4N,Overlap
CLEC5A,Overlap
CLEC7A,Overlap
CLEC12B,Overlap
CLNK,Overlap
CNOT7,Overlap
CNPY3,Overlap
CNR1,Overlap
COCH,Overlap
COLEC11,Overlap
COLEC12,Overlap
CORO1A,Overlap
CR1L,Overlap
CR2,Overlap
CRCP,Overlap
CRK,Overlap
CRP,Overlap
CRTAM,Overlap
CSF1,Overlap
CSF1R,Overlap
CTSG,Overlap
CX3CL1,Overlap
CX3CR1,Overlap
CXCL1,Overlap
CXCL2,Overlap
CXCL3,Overlap
CXCL5,Overlap
CXCL9,Overlap
CXCL10,Overlap
CXCL12,Overlap
CXCL13,Overlap
CXCL15,Overlap
CXCL16,Overlap
CYBA,Overlap
CYBB,Overlap
CYBC1,Overlap
CYLD,Overlap
CYP27B1,Overlap
DAB2IP,Overlap
DAPK1,Overlap
DAPK3,Overlap
DCST1,Overlap
DDX1,Overlap
DDX3X,Overlap
DDX21,Overlap
DDX58,Overlap
DDX60,Overlap
DEFA1,Overlap
DEFA2,Overlap
DEFA3,Overlap
DEFA4,Overlap
DEFA5,Overlap
DEFA6,Overlap
DEFA7,Overlap
DEFA8,Overlap
DEFA9,Overlap
DEFA10,Overlap
DEFA11,Overlap
DEFA13,Overlap
DEFA14,Overlap
DEFA15,Overlap
DEFA16,Overlap
DEFA17,Overlap
DEFA20,Overlap
DEFA21,Overlap
DEFA22,Overlap
DEFA23,Overlap
DEFA24,Overlap
DEFA25,Overlap
DEFA26,Overlap
DEFA27,Overlap
DEFA28,Overlap
DEFA29,Overlap
DEFA30,Overlap
DEFA31,Overlap
DEFA34,Overlap
DEFA35,Overlap
DEFA37,Overlap
DEFA38,Overlap
DEFA39,Overlap
DEFA40,Overlap
DEFA41,Overlap
DEFA42,Overlap
DEFA-RS2,Overlap
DEFA-RS10,Overlap
DEFA-RS12,Overlap
DEFB1,Overlap
DEFB12,Overlap
DEFB15,Overlap
DEFB18,Overlap
DEFB19,Overlap
DEFB20,Overlap
DEFB22,Overlap
DEFB25,Overlap
DEFB29,Overlap
DEFB30,Overlap
DEFB34,Overlap
DEFB35,Overlap
